distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas
28,5,26,215,12,NA,E10,0,0,0,45,E10
12,42,30,215,13,NA,E10,0,0,0,NA,NA
112,55,38,215,15,NA,E10,0,0,0,NA,NA
129,39,36,215,14,NA,E10,0,0,0,NA,NA
185,45,46,215,15,NA,E10,0,0,0,NA,NA
83,64,50,215,10,NA,E10,0,0,0,NA,NA
78,44,43,215,11,NA,E10,0,0,0,NA,NA
123,5,40,215,6,NA,E10,0,0,0,NA,NA
49,64,26,215,4,NA,E10,0,0,0,NA,NA
119,53,30,215,9,NA,E10,0,0,0,NA,NA
124,56,42,215,4,NA,E10,0,0,0,NA,NA
118,46,38,215,0,NA,E10,0,0,0,NA,NA
123,59,59,215,10,NA,E10,0,0,0,NA,NA
247,51,58,215,12,NA,E10,0,0,0,NA,NA
124,47,46,215,11,NA,E10,0,0,0,NA,NA
173,51,24,215,5,NA,E10,0,0,0,NA,NA
334,56,36,215,3,NA,E10,0,0,0,NA,NA
118,51,32,215,3,NA,E10,0,0,0,NA,NA
259,49,39,215,8,NA,E10,0,0,0,NA,NA
118,47,40,215,4,NA,E10,0,0,0,NA,NA
253,55,32,215,3,NA,E10,0,0,0,NA,NA
142,59,38,215,1,NA,E10,0,0,0,NA,NA
179,57,37,215,1,NA,E10,0,0,0,NA,NA
118,47,36,215,1,NA,E10,0,0,0,NA,NA
123,59,62,215,6,NA,E10,0,0,0,NA,NA
124,41,57,215,9,NA,E10,0,0,0,NA,NA
184,57,21,225,2,NA,E10,0,0,0,NA,NA
184,58,28,215,3,NA,E10,0,0,0,NA,NA
183,55,29,215,1,NA,E10,0,0,0,NA,NA
184,57,35,215,4,NA,E10,0,0,0,NA,NA
123,53,51,215,11,NA,E10,0,0,0,NA,NA
118,5,29,215,10,NA,E10,0,0,0,NA,NA
123,56,58,215,8,NA,E10,0,0,0,NA,NA
326,48,40,215,7,NA,E10,0,0,0,NA,NA
19,43,36,215,7,NA,E10,0,0,0,NA,NA
121,57,36,215,8,NA,E10,0,0,0,NA,NA
20,52,37,215,4,NA,E10,0,0,0,NA,NA
49,74,26,215,6,NA,E10,0,0,0,NA,NA
118,48,23,215,9,NA,E10,0,0,0,NA,NA
123,65,58,215,7,NA,E10,0,0,0,NA,NA
124,4,55,215,7,AC rain,E10,1,1,0,NA,NA
45,5,29,215,7,AC,E10,1,0,0,NA,NA
117,46,37,215,6,NA,E10,0,0,0,NA,NA
102,43,44,215,7,NA,E10,0,0,0,NA,NA
54,33,32,215,7,NA,SP98,0,0,0,376,SP98
2,99,21,215,4,NA,SP98,0,0,0,NA,NA
142,51,32,215,7,NA,SP98,0,0,0,NA,NA
16,49,25,215,8,NA,SP98,0,0,0,NA,NA
118,49,25,215,11,NA,SP98,0,0,0,NA,NA
273,47,36,215,10,NA,SP98,0,0,0,NA,NA
118,51,29,215,5,rain,SP98,0,1,0,NA,NA
106,49,63,215,6,NA,SP98,0,0,0,NA,NA
116,42,61,215,7,NA,SP98,0,0,0,NA,NA
131,61,46,215,6,rain,SP98,0,1,0,NA,NA
61,64,28,215,8,NA,SP98,0,0,0,NA,NA
1535,49,82,215,3,rain,SP98,0,1,0,NA,NA
118,49,24,215,7,NA,SP98,0,0,0,NA,NA
123,62,61,215,8,NA,SP98,0,0,0,NA,NA
124,42,57,215,8,NA,SP98,0,0,0,NA,NA
123,57,52,215,8,rain,SP98,0,1,0,NA,NA
29,79,18,215,9,AC rain,SP98,1,1,0,NA,NA
21,122,23,215,9,NA,SP98,1,1,0,NA,NA
98,58,24,215,6,NA,SP98,0,0,0,NA,NA
68,53,26,215,6,NA,SP98,0,0,0,NA,NA
124,54,24,215,7,NA,SP98,0,0,0,NA,NA
124,47,57,215,8,NA,SP98,0,0,0,NA,NA
118,46,41,215,6,NA,SP98,0,0,0,NA,NA
123,54,55,215,8,NA,SP98,0,0,0,NA,NA
14,43,40,215,8,NA,SP98,0,0,0,NA,NA
118,45,37,215,4,AC,SP98,1,0,0,NA,NA
123,52,55,215,12,NA,SP98,0,0,0,NA,NA
2,62,20,215,10,NA,SP98,0,0,0,NA,NA
139,51,29,215,6,NA,SP98,0,0,0,NA,NA
97,39,42,215,8,NA,SP98,0,0,0,NA,NA
116,5,25,215,6,NA,SP98,0,0,0,NA,NA
142,54,38,215,7,NA,SP98,0,0,0,NA,NA
118,45,39,215,6,NA,SP98,0,0,0,NA,NA
248,51,50,215,9,NA,SP98,0,0,0,NA,NA
124,47,56,215,7,NA,SP98,0,0,0,NA,NA
348,4,28,20,4,NA,SP98,0,0,0,NA,NA
142,54,36,20,6,NA,SP98,0,0,0,NA,NA
52,45,39,20,10,NA,SP98,0,0,0,NA,NA
105,36,42,20,10,NA,SP98,0,0,0,377,SP98
123,52,57,20,10,NA,SP98,0,0,0,NA,NA
118,49,25,20,11,NA,SP98,0,0,0,NA,NA
123,62,58,20,11,rain,SP98,0,1,0,NA,NA
132,43,51,20,11,rain,SP98,0,1,0,NA,NA
13,5,45,20,11,rain,SP98,0,1,0,NA,NA
129,51,32,20,11,NA,SP98,0,0,0,NA,NA
139,56,22,20,8,NA,SP98,0,0,0,NA,NA
118,43,37,20,6,NA,SP98,0,0,0,NA,NA
122,58,60,20,11,NA,SP98,0,0,0,NA,NA
125,4,51,20,13,NA,SP98,0,0,0,NA,NA
124,47,43,NA,10,NA,SP98,0,0,0,NA,NA
118,59,21,20,9,AC rain,SP98,1,1,0,NA,NA
118,53,52,NA,11,NA,SP98,0,0,0,NA,NA
125,42,57,20,11,NA,SP98,0,0,0,NA,NA
157,53,33,NA,9,NA,SP98,0,0,0,NA,NA
129,57,35,NA,9,NA,SP98,0,0,0,NA,NA
64,44,37,NA,10,NA,SP98,0,0,0,NA,NA
53,41,34,NA,9,NA,SP98,0,0,0,NA,NA
262,58,71,21,8,AC rain,SP98,1,1,0,NA,NA
188,5,62,NA,9,rain,SP98,0,1,0,NA,NA
49,69,25,21,12,rain,SP98,0,1,0,NA,NA
124,54,18,21,11,AC rain,SP98,1,1,0,NA,NA
229,53,45,205,7,NA,SP98,0,0,0,NA,NA
1627,55,75,23,1,NA,SP98,0,0,0,45,SP98
49,65,26,21,1,NA,SP98,0,0,0,NA,NA
118,47,36,21,4,NA,SP98,0,0,0,NA,NA
166,51,56,21,7,NA,SP98,0,0,0,NA,NA
124,57,37,21,7,NA,SP98,0,0,0,NA,NA
159,54,25,21,7,NA,SP98,0,0,0,NA,NA
51,87,21,235,5,NA,SP98,0,0,0,NA,NA
224,49,66,205,7,NA,SP98,0,0,0,NA,NA
311,47,42,205,7,NA,SP98,0,0,0,NA,NA
49,63,27,205,3,NA,SP98,0,0,0,NA,NA
118,51,26,23,4,rain,SP98,0,1,0,NA,NA
229,6,42,23,4,rain,SP98,0,1,0,NA,NA
124,46,38,23,1,snow,SP98,0,1,0,NA,NA
129,58,40,23,4,NA,SP98,0,0,0,NA,NA
118,51,43,23,0,NA,SP98,0,0,0,NA,NA
122,58,58,23,2,NA,SP98,0,0,0,NA,NA
248,46,55,23,3,NA,SP98,0,0,0,NA,NA
142,56,24,23,8,NA,SP98,0,0,0,NA,NA
118,46,38,23,0,snow,SP98,0,1,0,NA,NA
122,63,57,23,0,snow,SP98,0,1,0,NA,NA
247,55,56,25,1,NA,SP98,0,0,0,NA,NA
68,43,46,24,2,NA,SP98,0,0,0,NA,NA
173,56,37,215,1,NA,SP98,0,0,0,NA,NA
118,43,44,215,-3,NA,SP98,0,0,0,NA,NA
159,57,46,215,5,NA,SP98,0,0,0,NA,NA
51,64,39,215,4,NA,SP98,0,0,0,NA,NA
161,45,33,215,6,NA,SP98,0,0,0,NA,NA
118,45,43,215,3,NA,SP98,0,0,0,NA,NA
42,6,26,215,5,NA,SP98,0,0,0,NA,NA
174,51,30,215,5,NA,SP98,0,0,0,NA,NA
235,6,25,215,5,rain,SP98,0,1,0,NA,NA
118,45,38,215,5,rain,SP98,0,1,0,NA,NA
123,61,61,215,10,rain,SP98,0,1,0,NA,NA
161,54,24,215,7,rain,E10,0,1,0,38,E10
118,43,40,215,10,rain,E10,0,1,0,NA,NA
123,54,58,215,13,NA,E10,0,0,0,NA,NA
124,43,49,215,17,NA,E10,0,0,0,NA,NA
7,52,25,215,17,NA,E10,0,0,0,NA,NA
118,41,37,215,10,NA,E10,0,0,0,NA,NA
201,44,41,215,18,NA,E10,0,0,0,NA,NA
208,45,45,215,10,NA,E10,0,0,0,NA,NA
17,108,14,215,10,rain,E10,0,1,0,NA,NA
359,47,45,215,12,NA,E10,0,0,0,NA,NA
369,48,52,215,5,NA,E10,0,0,0,NA,NA
168,4,46,215,8,NA,E10,0,0,0,NA,NA
99,5,28,215,9,NA,E10,0,0,0,NA,NA
229,46,61,215,7,rain,E10,0,1,0,NA,NA
173,5,61,215,6,AC rain,E10,1,1,0,NA,NA
118,43,37,215,7,NA,E10,0,0,0,NA,NA
366,52,80,215,7,rain,E10,0,1,0,NA,NA
449,47,62,215,8,NA,E10,0,0,0,NA,NA
118,42,34,215,9,rain,E10,0,1,0,NA,NA
216,53,44,215,9,rain,E10,0,1,0,NA,NA
394,53,60,215,9,rain,E10,0,1,0,NA,NA
51,81,39,215,4,NA,E10,0,0,0,NA,NA
266,48,38,215,7,NA,E10,0,0,0,NA,NA
532,51,71,215,2,NA,E10,0,0,0,NA,NA
189,44,53,215,2,NA,E10,0,0,0,NA,NA
435,5,80,215,3,NA,E10,0,0,0,NA,NA
61,63,26,215,5,NA,E10,0,0,0,NA,NA
164,48,49,215,5,NA,E10,0,0,0,NA,NA
123,61,40,215,6,NA,E10,0,0,0,NA,NA
211,46,36,215,8,NA,E10,0,0,0,NA,NA
211,48,43,215,7,NA,E10,0,0,0,NA,NA
227,47,55,215,6,NA,E10,0,0,0,NA,NA
444,48,38,215,8,NA,E10,0,0,0,383,E10
358,44,51,215,6,NA,E10,0,0,0,NA,NA
118,49,44,215,0,NA,E10,0,0,0,NA,NA
262,49,42,215,6,NA,E10,0,0,0,NA,NA
406,44,44,21,3,NA,E10,0,0,0,NA,NA
124,53,38,21,-5,NA,E10,0,0,0,NA,NA
141,53,47,21,-3,NA,E10,0,0,0,NA,NA
587,48,75,21,0,NA,E10,0,0,0,NA,NA
162,52,29,21,0,NA,E10,0,0,0,NA,NA
123,49,50,225,0,NA,E10,0,0,0,NA,NA
123,71,52,225,0,AC snow,E10,1,1,0,NA,NA
124,52,51,225,1,NA,E10,0,0,0,NA,NA
318,47,59,225,3,NA,E10,0,0,0,NA,NA
123,51,55,225,8,NA,E10,0,0,0,NA,NA
516,5,73,225,12,NA,E10,0,0,0,NA,NA
386,46,44,225,10,NA,E10,0,0,0,NA,NA
123,48,41,225,7,NA,E10,0,0,0,NA,NA
812,44,69,22,13,NA,E10,0,0,0,NA,NA
1303,46,85,22,12,NA,E10,0,0,0,NA,NA
672,43,67,22,18,NA,E10,0,0,0,NA,NA
437,47,44,22,9,half rain half sun,SP98,0,1,0,10,SP98
121,42,43,22,4,NA,SP98,0,0,0,39,SP98
561,48,82,22,13,NA,SP98,0,0,0,NA,NA
39,41,61,22,16,NA,SP98,0,0,0,NA,NA
118,45,41,215,13,NA,SP98,0,0,0,NA,NA
385,48,63,215,14,NA,SP98,0,0,0,NA,NA
282,46,54,215,14,NA,SP98,0,0,0,NA,NA
29,74,24,215,14,NA,SP98,0,0,0,NA,NA
61,56,24,215,13,NA,SP98,0,0,0,NA,NA
196,49,43,215,13,NA,SP98,0,0,0,NA,NA
222,38,42,NA,15,NA,SP98,0,0,0,NA,NA
136,45,44,19,18,NA,SP98,0,0,0,NA,NA
126,41,33,NA,17,NA,SP98,0,0,0,NA,NA
87,53,28,225,12,AC rain,SP98,1,1,0,NA,NA
79,47,31,225,12,AC,SP98,1,0,0,NA,NA
24,9,26,20,10,NA,SP98,0,0,0,NA,NA
49,63,26,20,10,NA,SP98,0,0,0,NA,NA
181,36,36,20,19,NA,SP98,0,0,0,NA,NA
259,37,39,20,21,NA,SP98,0,0,0,NA,NA
13,115,21,20,10,NA,SP98,0,0,0,NA,NA
141,5,22,20,12,NA,SP98,0,0,0,NA,NA
134,55,31,20,9,NA,SP98,0,0,0,NA,NA
64,47,33,20,8,NA,SP98,0,0,0,NA,NA
129,45,42,20,13,NA,SP98,0,0,0,NA,NA
121,44,33,225,5,NA,SP98,0,0,0,NA,NA
157,41,32,225,13,NA,SP98,0,0,0,NA,NA
162,44,26,225,11,NA,SP98,0,0,0,NA,NA
128,46,22,225,12,NA,SP98,0,0,0,NA,NA
19,44,58,225,17,sun,SP98,0,0,1,NA,NA
29,4,27,225,12,NA,SP98,0,0,0,NA,NA
121,5,32,225,9,NA,SP98,0,0,0,NA,NA
123,52,55,225,10,NA,SP98,0,0,0,NA,NA
248,4,56,225,11,NA,SP98,0,0,0,NA,NA
129,51,34,225,8,rain,SP98,0,1,0,NA,NA
118,45,39,225,3,NA,SP98,0,0,0,NA,NA
314,46,62,225,11,NA,SP98,0,0,0,NA,NA
19,51,53,225,4,rain,SP98,0,1,0,NA,NA
13,57,38,225,3,AC rain,SP98,1,1,0,NA,NA
118,48,42,225,2,NA,SP98,0,0,0,NA,NA
13,62,32,225,4,NA,SP98,0,0,0,NA,NA
118,5,43,225,1,NA,SP98,0,0,0,NA,NA
271,5,69,225,8,NA,SP98,0,0,0,NA,NA
52,46,38,225,8,NA,SP98,0,0,0,NA,NA
19,45,29,225,10,NA,E10,0,0,0,39,E10
124,48,38,225,1,NA,E10,0,0,0,NA,NA
252,5,55,225,9,NA,E10,0,0,0,NA,NA
143,48,36,225,10,NA,E10,0,0,0,NA,NA
118,46,40,225,2,NA,E10,0,0,0,NA,NA
169,45,48,225,9,sun,E10,0,0,1,NA,NA
124,46,55,225,11,sun,E10,0,0,1,NA,NA
174,44,36,225,12,sun,E10,0,0,1,NA,NA
92,57,33,225,8,rain,E10,0,1,0,NA,NA
123,58,54,225,10,rain,E10,0,1,0,NA,NA
13,59,32,225,10,NA,E10,0,0,0,NA,NA
118,61,16,225,6,rain,E10,0,1,0,NA,NA
13,57,37,225,11,rain,E10,0,1,0,NA,NA
123,5,42,225,10,NA,E10,0,0,0,NA,NA
123,52,57,225,15,sun,E10,0,0,1,NA,NA
125,43,57,225,16,sun,E10,0,0,1,NA,NA
315,41,30,225,16,sun,E10,0,0,1,NA,NA
118,44,42,225,8,NA,E10,0,0,0,NA,NA
249,45,53,225,14,NA,E10,0,0,0,NA,NA
17,39,46,225,14,sun,E10,0,0,1,NA,NA
2,81,20,225,14,NA,E10,0,0,0,NA,NA
118,44,33,225,8,NA,E10,0,0,0,NA,NA
74,5,31,225,12,NA,E10,0,0,0,NA,NA
124,47,55,225,14,sun,E10,0,0,1,NA,NA
2,6,22,225,14,NA,E10,0,0,0,NA,NA
14,5,41,225,8,NA,E10,0,0,0,NA,NA
257,5,45,225,7,NA,E10,0,0,0,NA,NA
245,39,50,NA,15,sun,E10,0,0,1,NA,NA
118,45,28,225,12,NA,E10,0,0,0,NA,NA
41,54,24,225,13,NA,E10,0,0,0,NA,NA
42,56,29,22,17,NA,E10,0,0,0,NA,NA
42,39,29,22,18,sun,E10,0,0,1,NA,NA
16,4,40,22,10,NA,E10,0,0,0,NA,NA
229,4,29,NA,21,NA,E10,0,0,0,NA,NA
16,38,42,NA,8,NA,E10,0,0,0,NA,NA
154,45,50,22,14,NA,E10,0,0,0,NA,NA
16,38,41,22,12,NA,E10,0,0,0,NA,NA
42,56,32,22,18,NA,E10,0,0,0,NA,NA
1019,52,75,22,18,NA,E10,0,0,0,NA,NA
939,48,88,23,18,AC sun,E10,1,0,1,NA,NA
257,49,50,22,10,rain,SP98,0,1,0,41,SP98
16,41,40,22,10,NA,SP98,0,0,0,NA,NA
161,45,32,22,19,NA,SP98,0,0,0,NA,NA
16,44,40,22,7,AC rain,SP98,1,1,0,NA,NA
16,45,41,22,11,NA,SP98,0,0,0,NA,NA
247,45,26,22,10,NA,SP98,0,0,0,NA,NA
16,39,42,22,8,NA,SP98,0,0,0,NA,NA
154,46,43,22,16,NA,SP98,0,0,0,NA,NA
16,38,40,22,8,NA,SP98,0,0,0,NA,NA
321,45,50,22,16,NA,SP98,0,0,0,NA,NA
259,44,40,22,14,NA,SP98,0,0,0,NA,NA
486,43,44,22,12,NA,SP98,0,0,0,NA,NA
372,4,45,22,20,sun,SP98,0,0,1,NA,NA
288,39,35,22,15,sun,SP98,0,0,1,NA,NA
67,5,30,22,17,NA,SP98,0,0,0,NA,NA
74,41,25,22,18,sun,SP98,0,0,1,NA,NA
173,41,22,22,25,sun,SP98,0,0,1,NA,NA
66,56,43,22,16,NA,SP98,0,0,0,NA,NA
143,41,26,22,20,NA,SP98,0,0,0,NA,NA
133,46,33,22,18,NA,SP98,0,0,0,NA,NA
83,49,26,22,23,NA,SP98,0,0,0,NA,NA
127,45,39,22,27,sun,SP98,0,0,1,NA,NA
165,41,47,22,14,NA,SP98,0,0,0,NA,NA
206,41,38,22,21,NA,SP98,0,0,0,NA,NA
163,45,58,22,16,NA,SP98,0,0,0,NA,NA
187,42,65,25,18,sun ac,SP98,1,0,1,NA,NA
365,39,54,23,18,sun,SP98,0,0,1,NA,NA
19,5,35,22,15,sun ac,SP98,1,0,1,NA,NA
166,44,46,22,5,ac,SP98,1,0,0,NA,NA
299,45,32,22,18,ac,SP98,1,0,0,NA,NA
16,38,42,22,11,NA,SP98,0,0,0,NA,NA
211,51,33,22,10,rain,SP98,0,1,0,NA,NA
16,39,40,22,10,NA,SP98,0,0,0,NA,NA
119,53,34,22,13,NA,SP98,0,0,0,NA,NA
101,42,35,22,16,NA,SP98,0,0,0,NA,NA
319,43,33,22,16,NA,SP98,0,0,0,NA,NA
187,4,60,22,13,NA,SP98,0,0,0,NA,NA
108,47,48,22,17,sun,SP98,0,0,1,NA,NA
198,4,56,22,17,sun,SP98,0,0,1,NA,NA
113,43,38,22,17,NA,SP98,0,0,0,37,SP98
115,53,53,22,15,NA,SP98,0,0,0,NA,NA
214,52,51,22,13,NA,SP98,0,0,0,NA,NA
32,49,53,22,15,NA,SP98,0,0,0,NA,NA
419,47,53,22,14,NA,SP98,0,0,0,NA,NA
211,46,80,22,20,NA,SP98,0,0,0,NA,NA
2161,53,90,22,21,sun,SP98,0,0,1,NA,NA
255,36,27,22,27,sun,SP98,0,0,1,NA,NA
166,42,52,22,15,rain,SP98,0,1,0,NA,NA
259,41,43,22,24,NA,SP98,0,0,0,NA,NA
165,4,48,22,15,NA,SP98,0,0,0,NA,NA
221,39,29,22,26,NA,SP98,0,0,0,NA,NA
166,37,49,22,17,NA,E10,0,0,0,377,E10
154,45,43,22,24,NA,E10,0,0,0,NA,NA
165,39,43,22,17,NA,E10,0,0,0,NA,NA
154,51,21,22,24,NA,E10,0,0,0,NA,NA
184,42,59,22,24,NA,E10,0,0,0,NA,NA
395,42,58,22,25,NA,E10,0,0,0,NA,NA
215,48,47,25,27,AC Sun,E10,1,0,1,NA,NA
48,47,26,25,18,NA,E10,0,0,0,NA,NA
1009,47,87,235,22,NA,E10,0,0,0,NA,NA
1297,46,58,24,21,ac,E10,0,0,0,NA,NA
166,38,43,215,16,NA,E10,0,0,0,NA,NA
154,42,50,215,21,NA,E10,0,0,0,NA,NA
16,37,45,22,17,NA,E10,0,0,0,NA,NA
16,42,41,22,15,NA,E10,0,0,0,NA,NA
154,41,45,22,24,NA,E10,0,0,0,NA,NA
16,4,43,22,16,NA,E10,0,0,0,NA,NA
21,38,37,22,21,NA,E10,0,0,0,NA,NA
154,38,47,22,24,NA,E10,0,0,0,NA,NA
16,38,42,22,17,NA,E10,0,0,0,NA,NA
161,51,30,25,16,ac rain,E10,1,1,0,NA,NA
16,4,42,22,15,NA,E10,0,0,0,NA,NA
154,48,40,22,18,NA,E10,0,0,0,NA,NA
172,39,35,22,16,NA,E10,0,0,0,NA,NA
166,46,50,22,25,NA,E10,0,0,0,NA,NA
183,43,46,22,16,NA,SP98,0,0,0,372,SP98
161,48,36,22,18,rain,SP98,0,1,0,NA,NA
16,41,46,22,17,NA,SP98,0,0,0,NA,NA
163,4,35,22,23,NA,SP98,0,0,0,NA,NA
16,37,44,22,16,NA,SP98,0,0,0,NA,NA
183,43,46,22,23,NA,SP98,0,0,0,NA,NA
45,52,23,22,23,sun,SP98,0,0,1,NA,NA
17,42,48,22,16,NA,SP98,0,0,0,NA,NA
61,5,35,245,18,NA,SP98,0,0,0,NA,NA
61,5,33,22,24,sun,SP98,0,0,1,NA,NA
173,42,36,22,22,NA,SP98,0,0,0,NA,NA
6,48,27,22,17,NA,SP98,0,0,0,NA,NA
16,41,45,22,15,NA,SP98,0,0,0,NA,NA
154,49,55,22,18,NA,SP98,0,0,0,NA,NA
154,43,39,22,23,NA,SP98,0,0,0,NA,NA
16,39,35,22,18,NA,SP98,0,0,0,NA,NA
154,45,52,22,26,NA,SP98,0,0,0,NA,NA
166,41,48,255,30,sun ac,SP98,1,0,1,NA,NA
154,5,48,255,31,ac,SP98,1,0,0,NA,NA
16,4,43,22,21,ac,SP98,1,0,0,NA,NA
154,45,42,22,30,NA,SP98,0,0,0,NA,NA
16,36,43,22,19,NA,SP98,0,0,0,NA,NA
209,41,33,22,21,NA,SP98,0,0,0,NA,NA
321,39,47,22,26,NA,SP98,0,0,0,NA,NA
153,66,16,24,27,ac,SP98,1,0,0,NA,NA
285,4,44,25,23,ac,SP98,1,0,0,NA,NA
119,37,33,25,19,NA,SP98,0,0,0,NA,NA
145,43,36,25,22,NA,SP98,0,0,0,NA,NA
166,41,49,22,26,sun,SP98,0,0,1,NA,NA
162,44,39,245,17,ac,SP98,1,0,0,NA,NA
167,38,44,245,23,sun,SP98,0,0,1,NA,NA
83,5,52,245,27,NA,SP98,0,0,0,NA,NA
55,37,33,245,28,sun,SP98,0,0,1,NA,NA
136,37,33,245,28,sun,SP98,0,0,1,NA,NA
16,37,39,245,18,NA,SP98,0,0,0,NA,NA
161,43,38,25,31,AC,SP98,1,0,0,NA,NA
16,38,45,25,19,NA,SP98,0,0,0,NA,NA
154,46,42,25,31,AC,SP98,1,0,0,NA,NA
147,5,25,25,30,AC,SP98,1,0,0,NA,NA
